Series_Title,Overview,clean_text
Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.","Paan Singh Tomar The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement. Action, Biography, Crime Tigmanshu Dhulia Irrfan Khan Mahie Gill Rajesh Abhay Hemendra Dandotiya"
El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"El secreto de sus ojos A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later. Drama, Mystery, Romance Juan José Campanella Ricardo Darín Soledad Villamil Pablo Rago Carla Quevedo"
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Warrior The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother. Action, Drama, Sport Gavin O'Connor Tom Hardy Nick Nolte Joel Edgerton Jennifer Morrison"
Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Shutter Island In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane. Mystery, Thriller Martin Scorsese Leonardo DiCaprio Emily Mortimer Mark Ruffalo Ben Kingsley"
Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Up 78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway. Animation, Adventure, Comedy Pete Docter Bob Peterson Edward Asner Jordan Nagai John Ratzenberger"
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","The Wolf of Wall Street Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government. Biography, Crime, Drama Martin Scorsese Leonardo DiCaprio Jonah Hill Margot Robbie Matthew McConaughey"
Chak De! India,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,"Chak De! India Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds. Drama, Family, Sport Shimit Amin Shah Rukh Khan Vidya Malvade Sagarika Ghatge Shilpa Shukla"
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","There Will Be Blood A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business. Drama Paul Thomas Anderson Daniel Day-Lewis Paul Dano Ciarán Hinds Martin Stringer"
Pan's Labyrinth,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Pan's Labyrinth In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world. Drama, Fantasy, War Guillermo del Toro Ivana Baquero Ariadna Gil Sergi López Maribel Verdú"
Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Toy Story 3 The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home. Animation, Adventure, Comedy Lee Unkrich Tom Hanks Tim Allen Joan Cusack Ned Beatty"
V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","V for Vendetta In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman. Action, Drama, Sci-Fi James McTeigue Hugo Weaving Natalie Portman Rupert Graves Stephen Rea"
Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.","Rang De Basanti The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom. Comedy, Crime, Drama Rakeysh Omprakash Mehra Aamir Khan Soha Ali Khan Siddharth Sharman Joshi"
Black,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.","Black The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world. Drama Sanjay Leela Bhansali Amitabh Bachchan Rani Mukerji Shernaz Patel Ayesha Kapoor"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Batman Begins After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption. Action, Adventure Christopher Nolan Christian Bale Michael Caine Ken Watanabe Liam Neeson"
"Swades: We, the People",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Swades: We, the People A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots. Drama Ashutosh Gowariker Shah Rukh Khan Gayatri Joshi Kishori Ballal Smit Sheth"
Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Der Untergang Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII. Biography, Drama, History Oliver Hirschbiegel Bruno Ganz Alexandra Maria Lara Ulrich Matthes Juliane Köhler"
Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Hauru no ugoku shiro When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle. Animation, Adventure, Family Hayao Miyazaki Chieko Baishô Takuya Kimura Tatsuya Gashûin Akihiro Miwa"
A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","A Beautiful Mind After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish. Biography, Drama Ron Howard Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer"
Hera Pheri,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","Hera Pheri Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it? Action, Comedy, Crime Priyadarshan Akshay Kumar Sunil Shetty Paresh Rawal Tabu"
"Lock, Stock and Two Smoking Barrels","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Lock, Stock and Two Smoking Barrels A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns. Action, Comedy, Crime Guy Ritchie Jason Flemyng Dexter Fletcher Nick Moran Jason Statham"
L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","L.A. Confidential As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice. Crime, Drama, Mystery Curtis Hanson Kevin Spacey Russell Crowe Guy Pearce Kim Basinger"
Eskiya,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.","Eskiya Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover. Crime, Drama, Thriller Yavuz Turgul Sener Sen Ugur Yücel Sermin Hürmeriç Yesim Salkim"
Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Heat A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist. Crime, Drama, Thriller Michael Mann Al Pacino Robert De Niro Val Kilmer Jon Voight"
Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Casino A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite. Crime, Drama Martin Scorsese Robert De Niro Sharon Stone Joe Pesci James Woods"
Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,"Andaz Apna Apna Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal. Action, Comedy, Romance Rajkumar Santoshi Aamir Khan Salman Khan Raveena Tandon Karisma Kapoor"
Unforgiven,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Unforgiven Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."" Drama, Western Clint Eastwood Clint Eastwood Gene Hackman Morgan Freeman Richard Harris"
Indiana Jones and the Last Crusade,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Indiana Jones and the Last Crusade In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers. Action, Adventure Steven Spielberg Harrison Ford Sean Connery Alison Doody Denholm Elliott"
Dom za vesanje,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.","Dom za vesanje In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves. Comedy, Crime, Drama Emir Kusturica Davor Dujmovic Bora Todorovic Ljubica Adzovic Husnija Hasimovic"
Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Tonari no Totoro When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby. Animation, Family, Fantasy Hayao Miyazaki Hitoshi Takagi Noriko Hidaka Chika Sakamoto Shigesato Itoi"
Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Die Hard An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles. Action, Thriller John McTiernan Bruce Willis Alan Rickman Bonnie Bedelia Reginald VelJohnson"
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Ran In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him. Action, Drama, War Akira Kurosawa Tatsuya Nakadai Akira Terao Jinpachi Nezu Daisuke Ryû"
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Raging Bull The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it. Biography, Drama, Sport Martin Scorsese Robert De Niro Cathy Moriarty Joe Pesci Frank Vincent"
Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Stalker A guide leads two men through an area known as the Zone to find a room that grants wishes. Drama, Sci-Fi Andrei Tarkovsky Alisa Freyndlikh Aleksandr Kaydanovskiy Anatoliy Solonitsyn Nikolay Grinko"
Höstsonaten,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.","Höstsonaten A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist. Drama, Music Ingmar Bergman Ingrid Bergman Liv Ullmann Lena Nyman Halvar Björk"
The Message,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,"The Message This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history. Biography, Drama, History Moustapha Akkad Anthony Quinn Irene Papas Michael Ansara Johnny Sekka"
Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.","Sholay After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit. Action, Adventure, Comedy Ramesh Sippy Sanjeev Kumar Dharmendra Amitabh Bachchan Amjad Khan"
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Monty Python and the Holy Grail King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles. Adventure, Comedy, Fantasy Terry Gilliam Terry Jones Graham Chapman John Cleese Eric Idle"
The Great Escape,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"The Great Escape Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II. Adventure, Drama, History John Sturges Steve McQueen James Garner Richard Attenborough Charles Bronson"
To Kill a Mockingbird,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","To Kill a Mockingbird Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice. Crime, Drama Robert Mulligan Gregory Peck John Megna Frank Overton Rosemary Murphy"
Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Yôjinbô A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town. Action, Drama, Thriller Akira Kurosawa Toshirô Mifune Eijirô Tôno Tatsuya Nakadai Yôko Tsukasa"
Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Judgment at Nuremberg In 1948, an American court in occupied Germany tries four Nazis judged for war crimes. Drama, War Stanley Kramer Spencer Tracy Burt Lancaster Richard Widmark Marlene Dietrich"
Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Some Like It Hot After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in. Comedy, Music, Romance Billy Wilder Marilyn Monroe Tony Curtis Jack Lemmon George Raft"
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Smultronstället After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence. Drama, Romance Ingmar Bergman Victor Sjöström Bibi Andersson Ingrid Thulin Gunnar Björnstrand"
Det sjunde inseglet,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Det sjunde inseglet A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague. Drama, Fantasy, History Ingmar Bergman Max von Sydow Gunnar Björnstrand Bengt Ekerot Nils Poppe"
Du rififi chez les hommes,"Four men plan a technically perfect crime, but the human element intervenes...","Du rififi chez les hommes Four men plan a technically perfect crime, but the human element intervenes... Crime, Drama, Thriller Jules Dassin Jean Servais Carl Möhner Robert Manuel Janine Darcey"
Dial M for Murder,A former tennis player tries to arrange his wife's murder after learning of her affair.,"Dial M for Murder A former tennis player tries to arrange his wife's murder after learning of her affair. Crime, Thriller Alfred Hitchcock Ray Milland Grace Kelly Robert Cummings John Williams"
Tôkyô monogatari,"An old couple visit their children and grandchildren in the city, but receive little attention.","Tôkyô monogatari An old couple visit their children and grandchildren in the city, but receive little attention. Drama Yasujirô Ozu Chishû Ryû Chieko Higashiyama Sô Yamamura Setsuko Hara"
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Rashômon The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter. Crime, Drama, Mystery Akira Kurosawa Toshirô Mifune Machiko Kyô Masayuki Mori Takashi Shimura"
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,All About Eve A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends. Drama Joseph L. Mankiewicz Bette Davis Anne Baxter George Sanders Celeste Holm
The Treasure of the Sierra Madre,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"The Treasure of the Sierra Madre Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains. Adventure, Drama, Western John Huston Humphrey Bogart Walter Huston Tim Holt Bruce Bennett"
To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","To Be or Not to Be During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy. Comedy, War Ernst Lubitsch Carole Lombard Jack Benny Robert Stack Felix Bressart"
The Gold Rush,A prospector goes to the Klondike in search of gold and finds it and more.,"The Gold Rush A prospector goes to the Klondike in search of gold and finds it and more. Adventure, Comedy, Drama Charles Chaplin Charles Chaplin Mack Swain Tom Murray Henry Bergman"
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Sherlock Jr. A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch. Action, Comedy, Romance Buster Keaton Buster Keaton Kathryn McGuire Joe Keaton Erwin Connelly"
Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","Portrait de la jeune fille en feu On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman. Drama, Romance Céline Sciamma Noémie Merlant Adèle Haenel Luàna Bajrami Valeria Golino"
Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","Pink When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names. Drama, Thriller Aniruddha Roy Chowdhury Taapsee Pannu Amitabh Bachchan Kirti Kulhari Andrea Tariang"
Koe no katachi,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.","Koe no katachi A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption. Animation, Drama, Family Naoko Yamada Miyu Irino Saori Hayami Aoi Yûki Kenshô Ono"
Contratiempo,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,"Contratiempo A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense. Crime, Drama, Mystery Oriol Paulo Mario Casas Ana Wagener Jose Coronado Bárbara Lennie"
Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Ah-ga-ssi A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her. Drama, Romance, Thriller Chan-wook Park Kim Min-hee Jung-woo Ha Cho Jin-woong Moon So-Ri"
Mommy,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.","Mommy A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household. Drama Xavier Dolan Anne Dorval Antoine Olivier Pilon Suzanne Clément Patrick Huard"
Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.","Haider A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate. Action, Crime, Drama Vishal Bhardwaj Shahid Kapoor Tabu Shraddha Kapoor Kay Kay Menon"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Logan In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety. Action, Drama, Sci-Fi James Mangold Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook"
Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Room Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time. Drama, Thriller Lenny Abrahamson Brie Larson Jacob Tremblay Sean Bridgers Wendy Crewson"
Relatos salvajes,Six short stories that explore the extremities of human behavior involving people in distress.,"Relatos salvajes Six short stories that explore the extremities of human behavior involving people in distress. Comedy, Drama, Thriller Damián Szifron Darío Grandinetti María Marull Mónica Villa Diego Starosta"
Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Soul After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife. Animation, Adventure, Comedy Pete Docter Kemp Powers Jamie Foxx Tina Fey Graham Norton"
Kis Uykusu,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Kis Uykusu A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent. Drama Nuri Bilge Ceylan Haluk Bilginer Melisa Sözen Demet Akbag Ayberk Pekcan
PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"PK An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people. Comedy, Drama, Musical Rajkumar Hirani Aamir Khan Anushka Sharma Sanjay Dutt Boman Irani"
OMG: Oh My God!,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"OMG: Oh My God! A shopkeeper takes God to court when his shop is destroyed by an earthquake. Comedy, Drama, Fantasy Umesh Shukla Paresh Rawal Akshay Kumar Mithun Chakraborty Mahesh Manjrekar"
The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","The Grand Budapest Hotel A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge. Adventure, Comedy, Crime Wes Anderson Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody"
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Gone Girl With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. Drama, Mystery, Thriller David Fincher Ben Affleck Rosamund Pike Neil Patrick Harris Tyler Perry"
Ôkami kodomo no Ame to Yuki,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","Ôkami kodomo no Ame to Yuki After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society. Animation, Drama, Fantasy Mamoru Hosoda Aoi Miyazaki Takao Osawa Haru Kuroki Yukito Nishii"
Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Hacksaw Ridge World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot. Biography, Drama, History Mel Gibson Andrew Garfield Sam Worthington Luke Bracey Teresa Palmer"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Inside Out After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school. Animation, Adventure, Comedy Pete Docter Ronnie Del Carmen Amy Poehler Bill Hader Lewis Black"
Barfi!,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,"Barfi! Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. Comedy, Drama, Romance Anurag Basu Ranbir Kapoor Priyanka Chopra Ileana D'Cruz Saurabh Shukla"
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","12 Years a Slave In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Biography, Drama, History Steve McQueen Chiwetel Ejiofor Michael Kenneth Williams Michael Fassbender Brad Pitt"
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Rush The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda. Action, Biography, Drama Ron Howard Daniel Brühl Chris Hemsworth Olivia Wilde Alexandra Maria Lara"
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Ford v Ferrari American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966. Action, Biography, Drama James Mangold Matt Damon Christian Bale Jon Bernthal Caitriona Balfe"
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Spotlight The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core. Biography, Crime, Drama Tom McCarthy Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber"
Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.","Song of the Sea Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world. Animation, Adventure, Drama Tomm Moore David Rawle Brendan Gleeson Lisa Hannigan Fionnula Flanagan"
Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","Kahaani A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him. Mystery, Thriller Sujoy Ghosh Vidya Balan Parambrata Chattopadhyay Indraneil Sengupta Nawazuddin Siddiqui"
Zindagi Na Milegi Dobara,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Zindagi Na Milegi Dobara Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged. Comedy, Drama Zoya Akhtar Hrithik Roshan Farhan Akhtar Abhay Deol Katrina Kaif"
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Prisoners When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. Crime, Drama, Mystery Denis Villeneuve Hugh Jackman Jake Gyllenhaal Viola Davis Melissa Leo"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Mad Max: Fury Road In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max. Action, Adventure, Sci-Fi George Miller Tom Hardy Charlize Theron Nicholas Hoult Zoë Kravitz"
A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,"A Wednesday A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday. Action, Crime, Drama Neeraj Pandey Anupam Kher Naseeruddin Shah Jimmy Sheirgill Aamir Bashir"
